n_drones,trial,offset_deg,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance,sam_outcome,sam_victim
0,0,-13.962062983888396,False,0,18.850000000000133,3.5939529148728542e-06,kill,F16
0,1,-19.630332007763773,False,0,19.000000000000135,1.3533758514108766e-06,kill,F16
0,2,-9.604154514936653,False,0,18.75000000000013,1.7599758883706536e-10,kill,F16
0,3,6.271185843279504,True,0,18.75000000000013,4.9800782574464775e-05,miss,
0,4,-23.16845658278579,True,0,19.100000000000136,4.7933809822247386e-06,miss,
0,5,-19.01055938974143,True,0,18.950000000000134,2.3185986057784404e-09,miss,
0,6,18.14964035711212,False,0,18.950000000000134,1.9866588241212812e-06,kill,F16
0,7,23.669723600357784,False,0,19.100000000000136,2.635068493114943e-08,kill,F16
0,8,-21.690912858710497,True,0,19.050000000000136,8.338366252457885e-07,miss,
0,9,-9.413011675504135,False,0,18.75000000000013,5.266904632193893e-09,kill,F16
0,10,-3.7151902215215213,False,0,18.70000000000013,1.9673704021741612e-09,kill,F16
0,11,0.5983479833809753,False,0,18.70000000000013,2.0186829222830354e-07,kill,F16
0,12,15.70920370058717,False,0,18.900000000000134,1.2057032938172889e-06,kill,F16
0,13,21.69411990713833,False,0,19.050000000000136,7.840893774346958e-07,kill,F16
0,14,-17.78683740425089,False,0,18.950000000000134,1.2140010260805804e-06,kill,F16
0,15,12.81813283973851,False,0,18.800000000000132,6.455404867813121e-09,kill,F16
0,16,-2.8723112976908567,False,0,18.70000000000013,5.7474268057166586e-08,kill,F16
0,17,-8.758672501567295,False,0,18.75000000000013,8.357013989674849e-10,kill,F16
0,18,15.09222332568804,False,0,18.850000000000133,5.086485200773984e-09,kill,F16
0,19,-0.388530776318337,False,0,18.70000000000013,1.3618067954394591e-06,kill,F16
0,20,4.071212100049593,False,0,18.70000000000013,1.781405847146706e-08,kill,F16
0,21,-6.236356262611189,False,0,18.75000000000013,0.00015421672825350423,kill,F16
0,22,11.762615769917097,False,0,18.800000000000132,3.2325247232807946e-09,kill,F16
0,23,15.956853796969412,False,0,18.900000000000134,1.4616203302903626e-06,kill,F16
0,24,-5.408883306909075,True,0,18.70000000000013,6.245629072482971e-10,miss,
0,25,-16.008444341772755,False,0,18.900000000000134,2.204072269559802e-05,kill,F16
0,26,17.006391942532453,False,0,18.900000000000134,1.2258998806041192e-08,kill,F16
0,27,10.193080903624882,False,0,18.800000000000132,2.643764548288066e-06,kill,F16
0,28,-4.800264922339341,True,0,18.70000000000013,3.584343705259031e-11,miss,
0,29,-15.268115503301338,False,0,18.850000000000133,9.15276788748429e-09,kill,F16
0,30,-13.451930056569793,False,0,18.850000000000133,6.199725172837657e-06,kill,F16
0,31,13.566696099598424,False,0,18.850000000000133,1.9609483844576814e-06,kill,F16
0,32,11.732387724725832,False,0,18.800000000000132,9.272284868490404e-09,kill,F16
0,33,-6.108341494808396,False,0,18.75000000000013,1.35088404326751e-06,kill,F16
0,34,-7.374949804141946,False,0,18.75000000000013,6.0426822899143745e-05,kill,F16
0,35,-20.570895869581374,False,0,19.000000000000135,5.735784920529643e-09,kill,F16
0,36,5.721644457157389,False,0,18.75000000000013,5.198630374523499e-06,kill,F16
0,37,23.350291264429515,False,0,19.100000000000136,4.893028124871849e-07,kill,F16
0,38,0.9873828151716709,False,0,18.70000000000013,1.0250495806694183e-07,kill,F16
0,39,-24.176314940458138,False,0,19.100000000000136,1.9756520223834103e-09,kill,F16
0,40,7.093313457562935,True,0,18.75000000000013,3.1072188485793835e-06,miss,
0,41,1.677342087246565,False,0,18.70000000000013,3.758702397079082e-08,kill,F16
0,42,-23.520625097661046,False,0,19.100000000000136,5.510203424484185e-08,kill,F16
