magazine,escort_rcs_m2,escort_detection_range_km,survival,baseline_survival,delta,delta_ci_low,delta_ci_high,shots_at_manned,baseline_shots_at_manned,n_trials
2,0.0002648969287610527,19.1364109959527,0.425,0.38125,0.04375000000000001,-0.0043100490737548736,0.0915258971608998,0.65875,0.7075,800
2,0.000701703828670383,24.413481720401307,0.41625,0.38125,0.03500000000000003,-0.012962616504606894,0.08273617270477251,0.66125,0.7075,800
2,0.0018587918911465635,31.145761336251866,0.38875,0.38125,0.007500000000000007,-0.040107481583190586,0.05505961569887726,0.68625,0.7075,800
2,0.004923882631706742,39.73453931415792,0.23375,0.38125,-0.14749999999999996,-0.191668126303337,-0.1025150795393176,0.88125,0.7075,800
2,0.013043213867190054,50.69176500337111,0.11,0.38125,-0.27125,-0.31074706221697523,-0.23068344584939507,1.0275,0.7075,800
2,0.03455107294592218,64.6705632809841,0.1975,0.38125,-0.18374999999999997,-0.22673924990519703,-0.13980442920500813,0.91625,0.7075,800
2,0.09152473108773893,82.50416521897863,0.25875,0.38125,-0.1225,-0.16739476957937066,-0.07690355893767147,0.86625,0.7075,800
2,0.24244620170823283,105.25557430055741,0.25875,0.38125,-0.1225,-0.16739476957937066,-0.07690355893767147,0.86,0.7075,800
2,0.6422325422229356,134.28092862870025,0.24125,0.38125,-0.13999999999999999,-0.1843933983586986,-0.09482292683952641,0.87125,0.7075,800
2,1.7012542798525891,171.31033594380003,0.23125,0.38125,-0.14999999999999997,-0.19409163465330326,-0.10508082333133299,0.8675,0.7075,800
2,4.506570337745478,218.55099976501913,0.23625,0.38125,-0.145,-0.189243916126197,-0.09995018565497583,0.865,0.7075,800
2,11.937766417144358,278.81878367198453,0.23375,0.38125,-0.14749999999999996,-0.191668126303337,-0.1025150795393176,0.86875,0.7075,800
2,31.622776601683793,355.70605584924823,0.23625,0.38125,-0.145,-0.189243916126197,-0.09995018565497583,0.8675,0.7075,800
4,0.0001,15.0,0.41625,0.4225,-0.006249999999999978,-0.054477706926058675,0.04201882335077526,0.6475,0.66375,800
4,0.0002648969287610527,19.1364109959527,0.41625,0.4225,-0.006249999999999978,-0.054477706926058675,0.04201882335077526,0.6475,0.66375,800
4,0.000701703828670383,24.413481720401307,0.41625,0.4225,-0.006249999999999978,-0.054477706926058675,0.04201882335077526,0.65,0.66375,800
4,0.0018587918911465635,31.145761336251866,0.39875,0.4225,-0.023749999999999993,-0.07176152404575473,0.024416751975973844,0.6825,0.66375,800
4,0.004923882631706742,39.73453931415792,0.2,0.4225,-0.22249999999999998,-0.26587039446790756,-0.1778996275315048,0.92375,0.66375,800
4,0.013043213867190054,50.69176500337111,0.015,0.4225,-0.4075,-0.442608065093576,-0.37196410111181616,1.1125,0.66375,800
4,0.03455107294592218,64.6705632809841,0.01375,0.4225,-0.40875,-0.4437970437039419,-0.37331572489373716,1.145,0.66375,800
4,0.09152473108773893,82.50416521897863,0.00625,0.4225,-0.41625,-0.4509548726308066,-0.38146675163285904,1.1425,0.66375,800
4,0.24244620170823283,105.25557430055741,0.00375,0.4225,-0.41875,-0.4533585169970238,-0.3842083887249998,1.16,0.66375,800
4,0.6422325422229356,134.28092862870025,0.00875,0.4225,-0.41375,-0.44856273182506123,-0.37874017119518,1.13,0.66375,800
4,1.7012542798525891,171.31033594380003,0.005,0.4225,-0.4175,-0.4521548126530386,-0.3828352310476476,1.13875,0.66375,800
4,4.506570337745478,218.55099976501913,0.00375,0.4225,-0.41875,-0.4533585169970238,-0.3842083887249998,1.13625,0.66375,800
4,11.937766417144358,278.81878367198453,0.00375,0.4225,-0.41875,-0.4533585169970238,-0.3842083887249998,1.1375,0.66375,800
4,31.622776601683793,355.70605584924823,0.00375,0.4225,-0.41875,-0.4533585169970238,-0.3842083887249998,1.13625,0.66375,800
8,0.0001,15.0,0.42625,0.43375,-0.007500000000000007,-0.05587975456105538,0.04092943315444594,0.665,0.64875,800
8,0.0002648969287610527,19.1364109959527,0.425,0.43375,-0.008750000000000036,-0.057116531141432905,0.03967446788096565,0.66625,0.64875,800
8,0.000701703828670383,24.413481720401307,0.42,0.43375,-0.01375000000000004,-0.06206212004945426,0.03465302421760043,0.66625,0.64875,800
8,0.0018587918911465635,31.145761336251866,0.40125,0.43375,-0.03250000000000003,-0.08058640966845426,0.015799922523870344,0.705,0.64875,800
8,0.004923882631706742,39.73453931415792,0.2025,0.43375,-0.23125,-0.27475187539765894,-0.18644797294154622,0.9475,0.64875,800
8,0.013043213867190054,50.69176500337111,0.0175,0.43375,-0.41625,-0.4515395345569086,-0.38035804707149995,1.12875,0.64875,800
8,0.03455107294592218,64.6705632809841,0.0025,0.43375,-0.43125,-0.4658762097329841,-0.3966747489237015,1.15875,0.64875,800
8,0.09152473108773893,82.50416521897863,0.0,0.43375,-0.43375,-0.4683286529171764,-0.3994698095782979,1.16375,0.64875,800
8,0.24244620170823283,105.25557430055741,0.0,0.43375,-0.43375,-0.4683286529171764,-0.3994698095782979,1.15375,0.64875,800
8,0.6422325422229356,134.28092862870025,0.0,0.43375,-0.43375,-0.4683286529171764,-0.3994698095782979,1.14125,0.64875,800
8,1.7012542798525891,171.31033594380003,0.0,0.43375,-0.43375,-0.4683286529171764,-0.3994698095782979,1.135,0.64875,800
8,4.506570337745478,218.55099976501913,0.00125,0.43375,-0.43250000000000005,-0.4670939695435066,-0.3980632376202452,1.135,0.64875,800
8,11.937766417144358,278.81878367198453,0.00125,0.43375,-0.43250000000000005,-0.4670939695435066,-0.3980632376202452,1.13625,0.64875,800
8,31.622776601683793,355.70605584924823,0.00125,0.43375,-0.43250000000000005,-0.4670939695435066,-0.3980632376202452,1.1375,0.64875,800
